School,Latitude,Longitude,Overall_Grade_Numeric,Overall_Grade_Letter,Curriculum ,Research,Community_Engagement,Support_for_Student_Led_Initiatives,Sustainability,Link,
Boston University School of Medicine,42.33654703,-71.07237109,55.27,C+,D,B+,D+,A-,B-,https://phjrc.files.wordpress.com/2021/04/warwick-medical-school-phrc.pdf,
Brighton and Sussex Medical School,50.86437968,-0.085743518,62.81,B-,B,B+,D,B,B-,https://phjrc.files.wordpress.com/2021/04/brighton-and-sussex-medical-school-phrc-2021.docx.pdf,
Warren Alpert Medical School of Brown University ,41.8190551,-71.40842129,61.76,B-,C+,B,C,B,B-,https://phjrc.files.wordpress.com/2021/04/brown-2021.pdf,
Cardiff University School of Medicine,51.50822678,-3.186167889,14.8,F+,D-,D-,F,F,F,https://phjrc.files.wordpress.com/2021/04/cardiff-2021-planetary-health-report-card-template.pdf,
Columbia Vagelos College of Physicians and Surgeons,40.84179439,-73.94140303,47.61,C,D,A-,D-,B-,B-,https://phjrc.files.wordpress.com/2021/04/vps-2021-planetary-health-report-card.pdf,
Creighton University School of Medicine,41.23940537,-96.02931883,41.31,C-,C,D,D+,B,D,https://phjrc.files.wordpress.com/2021/04/2021-planetary-health-report-card-_-creighton-som.pdf,
Geisel School of Medicine at Dartmouth University,43.70890665,-72.28509777,34.59,D,D-,D+,F,A-,D,https://phjrc.files.wordpress.com/2021/04/dartmouth-2021.pdf,
Emory University School of Medicine,33.78973994,-84.32681452,81.48,A-,B+,A-,B,A,A-,https://phjrc.files.wordpress.com/2021/04/emory-2021.pdf,
Georgetown University School of Medicine,38.91210223,-77.07698749,55.14,C+,C,C,D+,B,B,https://phjrc.files.wordpress.com/2021/04/phrc-georgetown.pdf,
Harvard Medical School,42.33577,-71.10416787,68,B,C+,B+,B-,A-,B,https://phjrc.files.wordpress.com/2021/04/harvard-2021.pdf,
Hull York Medical School,53.95013449,-1.050731417,30.78,D,D-,C-,F-,C,C,https://phjrc.files.wordpress.com/2021/04/hull-york-medical-school-2021-phrc.pdf,
Imperial College School of Medicine,51.4981215,-0.176501315,54.33,C,C+,C,C-,C+,A-,https://phjrc.files.wordpress.com/2021/04/imperial-2021-phrc.pdf,
Indiana University School of Medicine,39.78177565,-86.1650963,38.31,D+,C-,D,F,C,C,https://phjrc.files.wordpress.com/2021/04/iu-2021-planetary-health-report-card-final.docx-google-docs.pdf,
Keele University School of Medicine,53.00336626,-2.272128104,70.26,B,B,B,D,B+,A+,https://phjrc.files.wordpress.com/2021/04/keele-university-phrc-2021.docx-2.pdf,
"GKT School of Medical Education, King's College London",51.51154647,-0.116286681,55.07,C+,C,C,C+,C,B-,https://phjrc.files.wordpress.com/2021/04/kings-college-london-2021-phrc.docx-2-1.pdf,
Lancaster Medical School,54.01504687,-2.787636386,43.4,C-,C+,D-,D-,C-,C+,https://phjrc.files.wordpress.com/2021/04/lancaster-university-phrc-2021.pdf,
Leeds School of Medicine,53.80360655,-1.555062516,52.92,C,B,D+,C-,C,C+,https://phjrc.files.wordpress.com/2021/04/leeds-medical-school-phrc.docx-2.pdf,
University of Leicester Medical School,52.62513855,-1.124646496,21.1,D-,F,D-,F-,C-,C-,https://phjrc.files.wordpress.com/2021/04/leicester-medical-school-2021-phrc.pdf,
Loyola Stritch School of Medicine,41.85837821,-87.83607002,34,D,D,D+,D,D-,C+,https://phjrc.files.wordpress.com/2021/04/2021-loyola-ssom-planetary-health-report-card-template.docx-1.pdf,
McGill University Faculty of Medicine and Health Sciences,45.50174189,-73.58207046,48.65,C,C,C,C-,C-,B-,https://phjrc.files.wordpress.com/2021/04/mcgill-2021-planetary-health-report-card.docx.pdf,
National University of Ireland Galway School of Medicine,53.27940817,-9.061854757,44.4,C-,D+,B-,F+,C-,B+,https://phjrc.files.wordpress.com/2021/04/national-university-of-ireland-galway-nuig-2021-phrc-edit-oln.pdf,
Newcastle University Medical School,54.98208779,-1.621707533,47.79,C,C+,C-,F,C-,B+,https://phjrc.files.wordpress.com/2021/04/newcastle-university-phrc-2021.pdf,
Newcastle University Medicine Malaysia,1.429439348,103.6135721,24.38,D-,C,D-,F-,F-,D,https://phjrc.files.wordpress.com/2021/08/numed-malaysia-2021.pdf,
Norwich Medical School (UEA),52.62209455,1.234541601,58.9,C+,C,B,D,B+,B+,https://phjrc.files.wordpress.com/2021/04/norwich-medical-school-phrc-2021.docx-2.pdf,
Peninsula Medical School at University of Plymouth,50.41593364,-4.11059206,62.16,B-,B,B,C,C+,B-,https://phjrc.files.wordpress.com/2021/04/peninsula-medical-school-2021-phrc.pdf,
Barts and The London School of Medicine and Dentistry,51.51779927,-0.060648862,57.56,C+,B,C,C ,C+,B-,https://phjrc.files.wordpress.com/2021/04/barts-2021-phrc.docx-google-docs.pdf,
